0,0.1199723,0.1194077
1,0.1224964,0.1242234
2,0.1513325,0.1445325
3,0.1895238,0.1934656
4,0.2533233,0.2471977
5,0.3746676,0.3892514
6,2.343624,2.319668
7,2.392931,2.393139
8,2.956236,2.855735
9,3.702289,3.779884
10,4.948595,4.715351
11,7.319019,7.131973
12,40.75513,40.72225
13,41.6126,42.49078
14,51.40835,49.45199
15,64.38208,65.62673
16,86.05505,81.89275
17,127.2763,125.3791
18,371.6145,339.0372
19,379.4329,347.9414
20,468.7528,395.3514
21,587.05,509.6527
22,587.05,626.4663
23,1160.534,880.943
24,3561.535,1980.771
25,3561.535,2057.012
26,3636.466,2275.966
27,4492.503,2618.294
28,5626.259,2956.59
29,11122.5,3494.134
0,0.4242016,0.4219445
1,0.6273983,0.6471728
2,3.924507,3.985738
3,4.007074,4.125458
4,4.950355,4.836387
5,6.199654,6.286955
6,8.286652,8.050794
7,12.25604,12.2064
8,68.24637,69.78493
9,69.68223,73.5433
10,86.08566,84.8396
11,107.8108,111.2162
12,144.1032,140.2217
13,213.13,210.4584
14,622.2857,545.182
15,635.378,564.3959
16,784.9484,636.5113
17,983.0426,813.0522
18,983.0426,964.7314  
19,1943.367,1310.029
20,0.2008993,0.1860173
21,0.2051259,0.2227828  
22,0.2534133,0.2448391
23,0.3173664,0.3159814
24,0.4242016,0.4070654
25,0.6273983,0.654574
26,3.924507,3.85523
27,4.007074,4.07843
28,4.950355,4.734678 
29,6.199654,6.263518
30,8.286652,7.916406 
31,12.25604,12.08321
32,68.24637,68.76084
33,69.68223,72.83776
34,86.08566,84.38292
35,107.8108,109.7504
36,144.1032,138.7059
37,213.13,209.1825
38,622.2857,542.2203
39,635.378,561.4691
40,784.9484,632.3144
41,983.0426,801.0871
42,1943.367,1301.254
43,5963.955,2538.805
44,5963.955,2619.886
45,6089.431,2854.399
46,7522.906,3218.64
47,9421.431,3547.968
48,18625.13,4176.781
0,0.4738263,0.4568423
1,0.483795,0.4926098
2,0.597682,0.5944903
3,0.7485171,0.7942078
4,1.000491,0.9730628
5,1.479736,1.463957
6,9.256054,9.292896
7,9.450791,9.585565
8,11.67555,11.20179
9,14.62205,14.95463
10,19.54429,18.80768
11,28.90619,28.74579
12,160.9609,160.7849
13,164.3474,166.7999
14,203.0353,195.0054
15,254.2746,249.8258
16,339.8712,314.4111
17,502.6729,461.588
18,1467.677,1083.996
19,1498.556,1099.536
20,1851.322,1233.458
21,2318.532,1504.14
22,2318.532,1721.086
23,4583.484,2186.074
24,14066.15,3649.473
25,14066.15,3744.902
26,14362.09,3997.09
27,17742.97,4389.724
28,22220.7,4620.37
29,43927.88,5266.913
